Training Accuracy,Training Error,Testing Accuracy,Testing Error,Time Taken
0.36666666666666664,94.68465783900949,0.4,24.336792768876915,0.02
0.19166666666666668,90.00002654025263,0.23333333333333334,22.500010421463493,4.5
0.275,90.0000125527317,0.26666666666666666,22.500005102042504,8.94
0.30833333333333335,90.00000823545584,0.26666666666666666,22.50000341282181,13.78
0.3333333333333333,90.00000613270281,0.3,22.500002576188297,18.31
0.3333333333333333,90.00000488750558,0.3,22.50000207474074,24.99
0.3416666666666667,90.00000406378719,0.3,22.500001739864633,30.14
0.3416666666666667,90.00000347837262,0.3,22.500001499998906,34.59
0.3416666666666667,90.00000304083592,0.3,22.500001319523953,40.39
0.3416666666666667,90.00000270138132,0.3,22.500001178688816,46.7
0.35,90.00000243032312,0.3,22.500001065648547,53.44
0.35,90.00000220886248,0.3,22.500000972862754,57.95
0.35833333333333334,90.00000202451454,0.3,22.50000089530009,62.38
0.35833333333333334,90.00000186866241,0.3,22.50000082947316,66.92
0.35833333333333334,90.00000173516624,0.3,22.5000007728875,71.42
0.35,90.00000161953275,0.3,22.50000072371107,75.94
0.35,90.00000151839792,0.3,22.50000068056767,80.36
0.35,90.00000142919272,0.3333333333333333,22.50000064240314,84.79
0.35,90.0000013499219,0.3333333333333333,22.5000006083963,90.27
0.35,90.00000127901153,0.3333333333333333,22.50000057789771,97.06
0.35,90.00000121520384,0.3333333333333333,22.50000055038702,103.49
0.35,90.00000115748134,0.3333333333333333,22.500000525442285,108.51
0.3416666666666667,90.0000011050123,0.3333333333333333,22.50000050271772,114.34
0.35,90.00000105710984,0.3333333333333333,22.500000481927245,122.32
0.35,90.00000101320211,0.3333333333333333,22.50000046283207,127.43
0.3416666666666667,90.00000097280875,0.3333333333333333,22.500000445231304,132.41
0.35,90.00000093552359,0.3333333333333333,22.500000428954746,136.89
0.3416666666666667,90.00000090100085,0.3333333333333333,22.500000413857148,142.79
0.35,90.00000086894403,0.3333333333333333,22.50000039981388,149.29
0.3333333333333333,90.00000083909777,0.3333333333333333,22.500000386717304,156.83
0.3416666666666667,90.00000081124082,0.3333333333333333,22.500000374474048,163.7
0.35,90.00000078518038,0.3333333333333333,22.500000363002645,169.7
0.3333333333333333,90.00000076074798,0.3333333333333333,22.500000352231744,174.58
0.325,90.0000007377955,0.3333333333333333,22.50000034209855,179.08
0.325,90.00000071619223,0.3333333333333333,22.500000332547582,184.2
0.3416666666666667,90.00000069582246,0.3333333333333333,22.500000323529644,190.82
0.3333333333333333,90.00000067658343,0.3333333333333333,22.500000315000953,196.18
0.325,90.00000065838336,0.3333333333333333,22.50000030692241,201.66
0.325,90.00000064114013,0.3333333333333333,22.500000299259,207.82
0.325,90.00000062478028,0.3333333333333333,22.500000291979237,212.87
